Customer_ID,Name,Email,City,Country
C001,Customer_1,customer1@gmail.com,City_2,India
C002,Customer_2,customer2@gmail.com,City_3,India
C003,Customer_3,customer3@gmail.com,City_4,India
C004,Customer_4,customer4@gmail.com,City_5,India
C005,Customer_5,customer5@gmail.com,City_6,India
C006,Customer_6,customer6@gmail.com,City_7,India
C007,Customer_7,customer7@gmail.com,City_8,India
C008,Customer_8,customer8@gmail.com,City_9,India
C009,Customer_9,customer9@gmail.com,City_10,India
C010,Customer_10,customer10@gmail.com,City_1,India
C011,Customer_11,customer11@gmail.com,City_2,India
C012,Customer_12,customer12@gmail.com,City_3,India
C013,Customer_13,customer13@gmail.com,City_4,India
C014,Customer_14,customer14@gmail.com,City_5,India
C015,Customer_15,customer15@gmail.com,City_6,India
C016,Customer_16,customer16@gmail.com,City_7,India
C017,Customer_17,customer17@gmail.com,City_8,India
C018,Customer_18,customer18@gmail.com,City_9,India
C019,Customer_19,customer19@gmail.com,City_10,India
C020,Customer_20,customer20@gmail.com,City_1,India
C021,Customer_21,customer21@gmail.com,City_2,India
C022,Customer_22,customer22@gmail.com,City_3,India
C023,Customer_23,customer23@gmail.com,City_4,India
C024,Customer_24,customer24@gmail.com,City_5,India
C025,Customer_25,customer25@gmail.com,City_6,India
C026,Customer_26,customer26@gmail.com,City_7,India
C027,Customer_27,customer27@gmail.com,City_8,India
C028,Customer_28,customer28@gmail.com,City_9,India
C029,Customer_29,customer29@gmail.com,City_10,India
C030,Customer_30,customer30@gmail.com,City_1,India
C031,Customer_31,customer31@gmail.com,City_2,India
C032,Customer_32,customer32@gmail.com,City_3,India
C033,Customer_33,customer33@gmail.com,City_4,India
C034,Customer_34,customer34@gmail.com,City_5,India
C035,Customer_35,customer35@gmail.com,City_6,India
C036,Customer_36,customer36@gmail.com,City_7,India
C037,Customer_37,customer37@gmail.com,City_8,India
C038,Customer_38,customer38@gmail.com,City_9,India
C039,Customer_39,customer39@gmail.com,City_10,India
C040,Customer_40,customer40@gmail.com,City_1,India
C041,Customer_41,customer41@gmail.com,City_2,India
C042,Customer_42,customer42@gmail.com,City_3,India
C043,Customer_43,customer43@gmail.com,City_4,India
C044,Customer_44,customer44@gmail.com,City_5,India
C045,Customer_45,customer45@gmail.com,City_6,India
C046,Customer_46,customer46@gmail.com,City_7,India
C047,Customer_47,customer47@gmail.com,City_8,India
C048,Customer_48,customer48@gmail.com,City_9,India
C049,Customer_49,customer49@gmail.com,City_10,India
C050,Customer_50,customer50@gmail.com,City_1,India
C051,Customer_51,customer51@gmail.com,City_2,India
C052,Customer_52,customer52@gmail.com,City_3,India
C053,Customer_53,customer53@gmail.com,City_4,India
C054,Customer_54,customer54@gmail.com,City_5,India
C055,Customer_55,customer55@gmail.com,City_6,India
C056,Customer_56,customer56@gmail.com,City_7,India
C057,Customer_57,customer57@gmail.com,City_8,India
C058,Customer_58,customer58@gmail.com,City_9,India
C059,Customer_59,customer59@gmail.com,City_10,India
C060,Customer_60,customer60@gmail.com,City_1,India
C061,Customer_61,customer61@gmail.com,City_2,India
C062,Customer_62,customer62@gmail.com,City_3,India
C063,Customer_63,customer63@gmail.com,City_4,India
C064,Customer_64,customer64@gmail.com,City_5,India
C065,Customer_65,customer65@gmail.com,City_6,India
C066,Customer_66,customer66@gmail.com,City_7,India
C067,Customer_67,customer67@gmail.com,City_8,India
C068,Customer_68,customer68@gmail.com,City_9,India
C069,Customer_69,customer69@gmail.com,City_10,India
C070,Customer_70,customer70@gmail.com,City_1,India
C071,Customer_71,customer71@gmail.com,City_2,India
C072,Customer_72,customer72@gmail.com,City_3,India
C073,Customer_73,customer73@gmail.com,City_4,India
C074,Customer_74,customer74@gmail.com,City_5,India
C075,Customer_75,customer75@gmail.com,City_6,India
C076,Customer_76,customer76@gmail.com,City_7,India
C077,Customer_77,customer77@gmail.com,City_8,India
C078,Customer_78,customer78@gmail.com,City_9,India
C079,Customer_79,customer79@gmail.com,City_10,India
C080,Customer_80,customer80@gmail.com,City_1,India
C081,Customer_81,customer81@gmail.com,City_2,India
C082,Customer_82,customer82@gmail.com,City_3,India
C083,Customer_83,customer83@gmail.com,City_4,India
C084,Customer_84,customer84@gmail.com,City_5,India
C085,Customer_85,customer85@gmail.com,City_6,India
C086,Customer_86,customer86@gmail.com,City_7,India
C087,Customer_87,customer87@gmail.com,City_8,India
C088,Customer_88,customer88@gmail.com,City_9,India
C089,Customer_89,customer89@gmail.com,City_10,India
C090,Customer_90,customer90@gmail.com,City_1,India
C091,Customer_91,customer91@gmail.com,City_2,India
C092,Customer_92,customer92@gmail.com,City_3,India
C093,Customer_93,customer93@gmail.com,City_4,India
C094,Customer_94,customer94@gmail.com,City_5,India
C095,Customer_95,customer95@gmail.com,City_6,India
C096,Customer_96,customer96@gmail.com,City_7,India
C097,Customer_97,customer97@gmail.com,City_8,India
C098,Customer_98,customer98@gmail.com,City_9,India
C099,Customer_99,customer99@gmail.com,City_10,India
C100,Customer_100,customer100@gmail.com,City_1,India
